no,type,distance
N814,normal,1
N78,normal,1
N52,normal,1
N403,normal,1
N445,normal,1
EV1,ev,1
N342,normal,1
N536,normal,1
N220,normal,1
N186,normal,1
N588,normal,1
N264,normal,1
N795,normal,1
N569,normal,1
N744,normal,1
N544,normal,1
N813,normal,1
N684,normal,1
N517,normal,1
N13,normal,1
N165,normal,1
N749,normal,1
N409,normal,1
N275,normal,1
N691,normal,1
N80,normal,1
N592,normal,1
N350,normal,1
N636,normal,1
N578,normal,1
N367,normal,1
N256,normal,1
N390,normal,1
N223,normal,1
EV33,ev,1
N309,normal,1
N75,normal,1
N249,normal,1
N529,normal,1
N305,normal,1
N400,normal,1
N4,normal,1
N658,normal,1
EV29,ev,1
N95,normal,1
EV9,ev,7
N559,normal,1
N825,normal,1
N596,normal,1
N815,normal,1
N556,normal,1
N276,normal,1
N43,normal,1
EV22,ev,1
N803,normal,1
N270,normal,1
N566,normal,1
N238,normal,1
N200,normal,1
EV11,ev,5
N768,normal,1
N720,normal,1
N49,normal,1
N659,normal,1
N717,normal,1
N808,normal,1
N413,normal,1
N673,normal,1
N164,normal,1
N338,normal,1
N580,normal,1
N16,normal,1
N797,normal,1
N389,normal,1
N212,normal,1
N462,normal,1
N22,normal,1
N84,normal,1
N377,normal,1
N715,normal,1
N688,normal,1
N794,normal,1
N467,normal,1
N524,normal,1
N129,normal,2
N434,normal,1
N718,normal,1
N406,normal,1
N108,normal,2
N405,normal,1
N316,normal,1
N98,normal,1
N484,normal,1
N364,normal,2
N322,normal,2
N253,normal,1
N293,normal,1
N282,normal,1
N558,normal,2
N201,normal,1
N25,normal,2
N704,normal,1
N311,normal,1
N125,normal,1
N407,normal,2
N696,normal,2
N747,normal,2
N246,normal,2
N161,normal,2
N260,normal,1
N326,normal,2
N31,normal,1
N622,normal,1
N792,normal,2
EV1,ev,2
N577,normal,1
EV27,ev,3
EV21,ev,3
N425,normal,2
N118,normal,2
N312,normal,2
N190,normal,2
N549,normal,2
N750,normal,2
N193,normal,1
N239,normal,1
EV6,ev,4
N310,normal,1
N711,normal,1
N699,normal,1
N99,normal,2
N478,normal,2
N46,normal,2
N743,normal,2
N637,normal,2
N446,normal,2
N501,normal,2
N609,normal,2
EV20,ev,11
N191,normal,2
N492,normal,2
N210,normal,2
N163,normal,1
N144,normal,2
N579,normal,1
N818,normal,2
N828,normal,2
N278,normal,2
N184,normal,2
N469,normal,2
N586,normal,1
N761,normal,2
