id,type,event,time,pos_r,pos_c,battery
0,normal,arrive,247.14427551114153,0,3,
0,normal,park_start,269.3442755111415,2,2,
1,normal,arrive,624.799306348616,0,3,
1,normal,park_start,654.1993063486161,3,3,
2,normal,arrive,699.5072320386631,0,3,
2,normal,park_start,718.1072320386631,2,3,
3,normal,arrive,1309.9631658717058,0,3,
3,normal,park_start,1332.1631658717056,1,5,
4,normal,arrive,1434.73169182128,0,3,
4,normal,park_start,1460.5316918212798,1,0,
4,normal,depart,1840.9292366451264,1,0,
1,normal,depart,1857.7788360421039,3,3,
5,normal,arrive,1867.2663658797433,0,3,
5,normal,park_start,1893.066365879743,1,0,
6,ev,arrive,1897.7819713784327,0,3,30.186301568344554
6,ev,park_start,1945.1819713784319,8,5,30.186301568344554
6,ev,charge_start,1945.1819713784319,8,5,30.186301568344554
3,normal,depart,2235.0599828595864,1,5,
7,normal,arrive,2391.5009532000104,0,3,
7,normal,park_start,2420.90095320001,3,3,
8,normal,arrive,2431.5007755996385,0,3,
9,ev,arrive,2456.12427341699,0,3,30.925987618212304
8,normal,park_start,2457.300775599638,2,5,
9,ev,park_start,2507.124273416989,9,5,30.925987618212304
9,ev,charge_start,2507.124273416989,9,5,30.925987618212304
10,normal,arrive,3049.6382540200148,0,3,
11,normal,arrive,3071.265995800685,0,3,
10,normal,park_start,3082.6382540200143,4,3,
11,normal,park_start,3104.2659958006843,3,2,
0,normal,depart,3133.7295907837856,2,2,
12,normal,arrive,3148.8576869048343,0,3,
12,normal,park_start,3171.057686904834,2,2,
8,normal,depart,3256.082397109113,2,5,
13,normal,arrive,3752.9171255717547,0,3,
13,normal,park_start,3778.7171255717544,2,5,
14,ev,arrive,4055.8375882320993,0,3,17.763535011376074
14,ev,park_start,4096.037588232099,6,5,17.763535011376074
14,ev,charge_start,4096.037588232099,6,5,17.763535011376074
5,normal,depart,4137.50437258523,1,0,
12,normal,depart,4373.554574790693,2,2,
15,normal,arrive,4388.595667305117,0,3,
15,normal,park_start,4410.795667305118,1,5,
13,normal,depart,4447.7820293116865,2,5,
16,normal,arrive,4670.410515703998,0,3,
16,normal,park_start,4696.210515703999,1,0,
17,normal,arrive,4754.646654950755,0,3,
17,normal,park_start,4784.046654950756,2,0,
6,ev,charge_update,4945.181971378432,8,5,40.18630156834466
2,normal,depart,5060.151019543209,2,3,
9,ev,charge_update,5507.124273416989,9,5,40.925987618212424
16,normal,depart,6443.978835803653,1,0,
14,ev,charge_update,7156.037588232099,6,5,27.963535011376038
15,normal,depart,7190.727146078809,1,5,
6,ev,charge_update,7945.181971378432,8,5,50.1863015683448
9,ev,charge_update,8507.12427341699,9,5,50.92598761821257
7,normal,depart,8817.360497707818,3,3,
17,normal,depart,9009.02341952591,2,0,
